node_id,parent_id,volume,node_type,code,name,description,prerequisite_node_ids,primary_competencies,typical_question_types,common_errors,gaokao_priority,status,reviewed_by
pep_a_r1,,必修第一册,volume,R1,必修第一册,人教A版普通高中教科书数学必修第一册,,数学抽象|逻辑推理|数学运算|直观想象|数学建模|数据分析,,,high,ready_for_teacher_review,user_pending
pep_a_r1_c1,pep_a_r1,必修第一册,chapter,1,集合与常用逻辑用语,集合语言与逻辑表达基础,,数学抽象|逻辑推理,选择题|填空题,混淆元素与集合或条件关系,high,ready_for_teacher_review,user_pending
pep_a_r1_c1_s1,pep_a_r1_c1,必修第一册,section,1.1,集合的概念,集合元素与表示,,数学抽象,选择题|填空题,忽略确定性互异性无序性,high,ready_for_teacher_review,user_pending
kp_r1_1_1_01,pep_a_r1_c1_s1,必修第一册,knowledge_point,1.1.1,集合与元素,集合及元素的概念和基本特征,,数学抽象,概念辨析|元素判断,把重复对象计为不同元素,high,ready_for_teacher_review,user_pending
kp_r1_1_1_02,pep_a_r1_c1_s1,必修第一册,knowledge_point,1.1.2,元素与集合的关系,属于与不属于及符号表达,kp_r1_1_1_01,数学抽象,符号判断|参数求值,混用属于和包含,high,ready_for_teacher_review,user_pending
kp_r1_1_1_03,pep_a_r1_c1_s1,必修第一册,knowledge_point,1.1.3,常用数集,自然数集整数集有理数集实数集及记号,kp_r1_1_1_01,数学抽象,数集判断|条件翻译,忽略正整数集记号差异,medium,ready_for_teacher_review,user_pending
kp_r1_1_1_04,pep_a_r1_c1_s1,必修第一册,knowledge_point,1.1.4,集合的表示,列举法描述法与区间表示,kp_r1_1_1_02,数学抽象|数学运算,集合表示|互相转换,描述对象和限制条件不完整,high,ready_for_teacher_review,user_pending
pep_a_r1_c1_s2,pep_a_r1_c1,必修第一册,section,1.2,集合间的基本关系,子集真子集相等和空集,pep_a_r1_c1_s1,数学抽象|逻辑推理,选择题|填空题,混淆属于与包含,high,ready_for_teacher_review,user_pending
kp_r1_1_2_01,pep_a_r1_c1_s2,必修第一册,knowledge_point,1.2.1,子集关系,子集定义及符号判断,kp_r1_1_1_04,逻辑推理,子集判断|参数问题,方向写反,high,ready_for_teacher_review,user_pending
kp_r1_1_2_02,pep_a_r1_c1_s2,必修第一册,knowledge_point,1.2.2,真子集与集合相等,真子集和集合相等的判定,kp_r1_1_2_01,逻辑推理,真子集计数|相等求参,漏掉集合相等情形,high,ready_for_teacher_review,user_pending
kp_r1_1_2_03,pep_a_r1_c1_s2,必修第一册,knowledge_point,1.2.3,空集,空集是任何集合的子集,kp_r1_1_2_01,逻辑推理,包含关系|分类讨论,漏掉空集情形,high,ready_for_teacher_review,user_pending
kp_r1_1_2_04,pep_a_r1_c1_s2,必修第一册,knowledge_point,1.2.4,有限集合子集计数,n个元素集合的子集与真子集数量,kp_r1_1_2_02,数学运算|逻辑推理,计数题|参数题,非空和真子集公式混淆,medium,ready_for_teacher_review,user_pending
pep_a_r1_c1_s3,pep_a_r1_c1,必修第一册,section,1.3,集合的基本运算,并集交集补集与图示,pep_a_r1_c1_s1|pep_a_r1_c1_s2,数学运算|逻辑推理,选择题|填空题,端点和全集处理错误,high,ready_for_teacher_review,user_pending
kp_r1_1_3_01,pep_a_r1_c1_s3,必修第一册,knowledge_point,1.3.1,并集,并集定义性质和运算,kp_r1_1_2_01,数学运算,集合运算|区间运算,误把并集当公共部分,high,ready_for_teacher_review,user_pending
kp_r1_1_3_02,pep_a_r1_c1_s3,必修第一册,knowledge_point,1.3.2,交集,交集定义性质和运算,kp_r1_1_2_01,数学运算,集合运算|参数求值,端点开闭判断错误,high,ready_for_teacher_review,user_pending
kp_r1_1_3_03,pep_a_r1_c1_s3,必修第一册,knowledge_point,1.3.3,补集,全集下补集定义和运算,kp_r1_1_3_01|kp_r1_1_3_02,逻辑推理|数学运算,补集运算|德摩根律,未明确全集,high,ready_for_teacher_review,user_pending
kp_r1_1_3_04,pep_a_r1_c1_s3,必修第一册,knowledge_point,1.3.4,韦恩图与集合综合,用图表示集合关系和运算,kp_r1_1_3_01|kp_r1_1_3_02|kp_r1_1_3_03,直观想象|逻辑推理,阴影识别|集合计数,阴影范围看反,medium,ready_for_teacher_review,user_pending
pep_a_r1_c1_s4,pep_a_r1_c1,必修第一册,section,1.4,充分条件与必要条件,命题关系与条件判定,pep_a_r1_c1_s1|pep_a_r1_c1_s2,逻辑推理,选择题|填空题,推理方向相反,high,ready_for_teacher_review,user_pending
kp_r1_1_4_01,pep_a_r1_c1_s4,必修第一册,knowledge_point,1.4.1,命题与推出关系,条件p推出结论q的含义,kp_r1_1_2_01,逻辑推理,命题真假|推出判断,只验证个别例子,high,ready_for_teacher_review,user_pending
kp_r1_1_4_02,pep_a_r1_c1_s4,必修第一册,knowledge_point,1.4.2,充分条件与必要条件,充分必要充要和既不充分也不必要,kp_r1_1_4_01,逻辑推理,条件判定|范围比较,把充分和必要颠倒,high,ready_for_teacher_review,user_pending
kp_r1_1_4_03,pep_a_r1_c1_s4,必修第一册,knowledge_point,1.4.3,集合视角判定条件,用解集包含关系判断条件关系,kp_r1_1_2_01|kp_r1_1_4_02,数学抽象|逻辑推理,参数范围|条件等价,包含方向错误,high,ready_for_teacher_review,user_pending
pep_a_r1_c1_s5,pep_a_r1_c1,必修第一册,section,1.5,全称量词与存在量词,量词命题及否定,pep_a_r1_c1_s4,逻辑推理|数学抽象,选择题|填空题,否定量词或结论不完整,high,ready_for_teacher_review,user_pending
kp_r1_1_5_01,pep_a_r1_c1_s5,必修第一册,knowledge_point,1.5.1,全称量词命题,对任意对象成立的命题,kp_r1_1_4_01,逻辑推理,真假判断|恒成立问题,用有限验证代替证明,high,ready_for_teacher_review,user_pending
kp_r1_1_5_02,pep_a_r1_c1_s5,必修第一册,knowledge_point,1.5.2,存在量词命题,至少存在一个对象成立的命题,kp_r1_1_4_01,逻辑推理,存在性判断|反例构造,把存在理解为全部,high,ready_for_teacher_review,user_pending
kp_r1_1_5_03,pep_a_r1_c1_s5,必修第一册,knowledge_point,1.5.3,含量词命题的否定,量词互换并否定结论,kp_r1_1_5_01|kp_r1_1_5_02,逻辑推理,命题否定|参数问题,只否定结论不更换量词,high,ready_for_teacher_review,user_pending
pep_a_r1_c2,pep_a_r1,必修第一册,chapter,2,一元二次函数方程和不等式,等式不等式与二次结构,pep_a_r1_c1,数学运算|逻辑推理,选择题|填空题|解答题,忽略定义域和等号条件,high,ready_for_teacher_review,user_pending
pep_a_r1_c2_s1,pep_a_r1_c2,必修第一册,section,2.1,等式性质与不等式性质,等式变形与不等式运算规则,pep_a_r1_c1_s3,数学运算|逻辑推理,选择题|填空题,乘除负数不改变方向,high,ready_for_teacher_review,user_pending
kp_r1_2_1_01,pep_a_r1_c2_s1,必修第一册,knowledge_point,2.1.1,等式的基本性质,等式加减乘除和代换,pep_a_r1_c1_s3,数学运算,代数变形|求值,除数可能为零,medium,ready_for_teacher_review,user_pending
kp_r1_2_1_02,pep_a_r1_c2_s1,必修第一册,knowledge_point,2.1.2,不等式的基本性质,同向加法乘法和倒数等性质,kp_r1_2_1_01,逻辑推理|数学运算,性质判断|大小比较,忽略正负条件,high,ready_for_teacher_review,user_pending
kp_r1_2_1_03,pep_a_r1_c2_s1,必修第一册,knowledge_point,2.1.3,比较大小,作差作商和函数方法比较,kp_r1_2_1_02,数学运算,代数比较|参数比较,作商时忽略符号,high,ready_for_teacher_review,user_pending
pep_a_r1_c2_s2,pep_a_r1_c2,必修第一册,section,2.2,基本不等式,算术平均数和几何平均数关系,pep_a_r1_c2_s1,数学运算|逻辑推理,选择题|填空题|解答题,等号条件与正数条件遗漏,high,ready_for_teacher_review,user_pending
kp_r1_2_2_01,pep_a_r1_c2_s2,必修第一册,knowledge_point,2.2.1,基本不等式,两个正数的算术平均不小于几何平均,kp_r1_2_1_02,数学运算,直接求最值|证明,变量不为正,high,ready_for_teacher_review,user_pending
kp_r1_2_2_02,pep_a_r1_c2_s2,必修第一册,knowledge_point,2.2.2,一正二定三相等,使用基本不等式的适用条件,kp_r1_2_2_01,逻辑推理,条件辨析|最值,和或积并未固定,high,ready_for_teacher_review,user_pending
kp_r1_2_2_03,pep_a_r1_c2_s2,必修第一册,knowledge_point,2.2.3,配凑与代换求最值,通过拆项添项换元满足定值结构,kp_r1_2_2_01|kp_r1_2_2_02,数学运算,分式最值|参数最值,等号无法同时取得,high,ready_for_teacher_review,user_pending
kp_r1_2_2_04,pep_a_r1_c2_s2,必修第一册,knowledge_point,2.2.4,基本不等式实际应用,面积造价和效率等最优化模型,kp_r1_2_2_03,数学建模|数学运算,应用题|最优化,忽略实际取值范围,medium,ready_for_teacher_review,user_pending
pep_a_r1_c2_s3,pep_a_r1_c2,必修第一册,section,2.3,二次函数与一元二次方程不等式,三者的图象和代数联系,pep_a_r1_c2_s1,数学运算|直观想象,选择题|填空题|解答题,判别式和开口方向使用错误,high,ready_for_teacher_review,user_pending
kp_r1_2_3_01,pep_a_r1_c2_s3,必修第一册,knowledge_point,2.3.1,一元二次方程根与判别式,根的个数和判别式关系,kp_r1_2_1_01,数学运算,根的个数|参数范围,忽略二次项系数非零,high,ready_for_teacher_review,user_pending
kp_r1_2_3_02,pep_a_r1_c2_s3,必修第一册,knowledge_point,2.3.2,二次函数图象与零点,开口对称轴顶点和零点,kp_r1_2_3_01,直观想象|数学运算,图象判断|参数问题,对称轴符号错误,high,ready_for_teacher_review,user_pending
kp_r1_2_3_03,pep_a_r1_c2_s3,必修第一册,knowledge_point,2.3.3,一元二次不等式求解,结合图象和根写解集,kp_r1_2_3_01|kp_r1_2_3_02,数学运算|直观想象,解不等式|区间表示,开口向下时区间判断反向,high,ready_for_teacher_review,user_pending
kp_r1_2_3_04,pep_a_r1_c2_s3,必修第一册,knowledge_point,2.3.4,含参数二次不等式,按判别式根序和开口分类,kp_r1_2_3_03,逻辑推理|数学运算,参数分类|恒成立,分类不完整,high,ready_for_teacher_review,user_pending
kp_r1_2_3_05,pep_a_r1_c2_s3,必修第一册,knowledge_point,2.3.5,二次不等式实际应用,建立二次模型求范围,kp_r1_2_3_03,数学建模|数学运算,应用题|范围题,答案未结合实际意义,medium,ready_for_teacher_review,user_pending
pep_a_r1_c3,pep_a_r1,必修第一册,chapter,3,函数的概念与性质,函数语言和基本性质,pep_a_r1_c1|pep_a_r1_c2,数学抽象|直观想象|逻辑推理,选择题|填空题|解答题,定义域和对应关系遗漏,high,ready_for_teacher_review,user_pending
pep_a_r1_c3_s1,pep_a_r1_c3,必修第一册,section,3.1,函数的概念及其表示,函数定义域值域表示和分段函数,pep_a_r1_c1_s1|pep_a_r1_c2_s3,数学抽象|直观想象,选择题|填空题|解答题,只化简表达式不保留定义域,high,ready_for_teacher_review,user_pending
kp_r1_3_1_01,pep_a_r1_c3_s1,必修第一册,knowledge_point,3.1.1,函数的概念,非空数集间的确定对应,kp_r1_1_1_04,数学抽象,函数判断|概念辨析,忽略每个自变量唯一对应,high,ready_for_teacher_review,user_pending
kp_r1_3_1_02,pep_a_r1_c3_s1,必修第一册,knowledge_point,3.1.2,函数定义域,自然定义域和限制条件,kp_r1_3_1_01,数学运算,根式分式对数定义域|复合条件,限制条件遗漏,high,ready_for_teacher_review,user_pending
kp_r1_3_1_03,pep_a_r1_c3_s1,必修第一册,knowledge_point,3.1.3,函数值与值域,代入求值及值域的初步求法,kp_r1_3_1_02,数学运算,求函数值|求值域,把值域等同于对应集合,high,ready_for_teacher_review,user_pending
kp_r1_3_1_04,pep_a_r1_c3_s1,必修第一册,knowledge_point,3.1.4,函数表示方法,解析法图象法列表法互相转换,kp_r1_3_1_01,直观想象|数学抽象,图象识别|表达转换,图象端点处理错误,medium,ready_for_teacher_review,user_pending
kp_r1_3_1_05,pep_a_r1_c3_s1,必修第一册,knowledge_point,3.1.5,分段函数,按自变量范围选择表达式,kp_r1_3_1_02|kp_r1_3_1_03,数学运算|逻辑推理,分段求值|图象|方程,分界点取错表达式,high,ready_for_teacher_review,user_pending
pep_a_r1_c3_s2,pep_a_r1_c3,必修第一册,section,3.2,函数的基本性质,单调性最值奇偶性,pep_a_r1_c3_s1|pep_a_r1_c2_s1,逻辑推理|直观想象,选择题|填空题|解答题,区间和定义域关系遗漏,high,ready_for_teacher_review,user_pending
kp_r1_3_2_01,pep_a_r1_c3_s2,必修第一册,knowledge_point,3.2.1,函数单调性,增函数减函数的定义和图象判断,kp_r1_3_1_01|kp_r1_3_1_04,逻辑推理|直观想象,单调性判断|证明,任取两点步骤不完整,high,ready_for_teacher_review,user_pending
kp_r1_3_2_02,pep_a_r1_c3_s2,必修第一册,knowledge_point,3.2.2,单调性证明,定义法作差变形定号,kp_r1_3_2_01|kp_r1_2_1_03,逻辑推理|数学运算,证明题,未声明自变量大小关系,high,ready_for_teacher_review,user_pending
kp_r1_3_2_03,pep_a_r1_c3_s2,必修第一册,knowledge_point,3.2.3,函数最大值与最小值,最值定义和利用单调性求最值,kp_r1_3_2_01,数学运算|直观想象,区间最值|参数题,最值是否取得未说明,high,ready_for_teacher_review,user_pending
kp_r1_3_2_04,pep_a_r1_c3_s2,必修第一册,knowledge_point,3.2.4,函数奇偶性,奇函数偶函数定义及图象对称,kp_r1_3_1_02|kp_r1_3_1_04,逻辑推理|直观想象,奇偶性判断|求参数,定义域不关于原点对称,high,ready_for_teacher_review,user_pending
kp_r1_3_2_05,pep_a_r1_c3_s2,必修第一册,knowledge_point,3.2.5,函数性质综合,单调性奇偶性最值和方程不等式综合,kp_r1_3_2_01|kp_r1_3_2_03|kp_r1_3_2_04,逻辑推理|数学运算,性质综合|抽象函数,机械套用局部性质,high,ready_for_teacher_review,user_pending
pep_a_r1_c3_s3,pep_a_r1_c3,必修第一册,section,3.3,幂函数,幂函数定义图象和性质,pep_a_r1_c3_s1|pep_a_r1_c3_s2,数学抽象|直观想象,选择题|填空题,指数取值与定义域混淆,medium,ready_for_teacher_review,user_pending
kp_r1_3_3_01,pep_a_r1_c3_s3,必修第一册,knowledge_point,3.3.1,幂函数概念,形如y等于x的a次幂的函数,kp_r1_3_1_01,数学抽象,概念判断|求参数,系数不为1仍误判,medium,ready_for_teacher_review,user_pending
kp_r1_3_3_02,pep_a_r1_c3_s3,必修第一册,knowledge_point,3.3.2,常见幂函数图象,五类常见幂函数图象及定义域,kp_r1_3_3_01|kp_r1_3_1_04,直观想象,图象匹配|大小比较,负指数和分数指数图象混淆,high,ready_for_teacher_review,user_pending
kp_r1_3_3_03,pep_a_r1_c3_s3,必修第一册,knowledge_point,3.3.3,幂函数性质应用,单调性奇偶性和值域的应用,kp_r1_3_2_01|kp_r1_3_2_04|kp_r1_3_3_02,逻辑推理|数学运算,比较大小|解不等式,忽略定义域分支,medium,ready_for_teacher_review,user_pending
pep_a_r1_c3_s4,pep_a_r1_c3,必修第一册,section,3.4,函数的应用一,一次二次和分段模型应用,pep_a_r1_c3_s1|pep_a_r1_c3_s2|pep_a_r1_c3_s3,数学建模|数学运算,应用题|解答题,模型适用范围未检验,medium,ready_for_teacher_review,user_pending
kp_r1_3_4_01,pep_a_r1_c3_s4,必修第一册,knowledge_point,3.4.1,函数模型建立,从实际关系确定变量和函数表达式,kp_r1_3_1_01,数学建模,建模题|表达式求解,自变量单位和范围遗漏,medium,ready_for_teacher_review,user_pending
kp_r1_3_4_02,pep_a_r1_c3_s4,必修第一册,knowledge_point,3.4.2,函数模型选择,利用数据图象和变化特征选择模型,kp_r1_3_1_04|kp_r1_3_2_01,数学建模|数据分析,模型辨析|图表题,仅凭个别数据判断,medium,ready_for_teacher_review,user_pending
