batch_id,file_id,filename,source_path,module,subtopic,version_type,pages,preliminary_question_estimate,estimate_requires_parser_validation,text_extraction_class,low_text_pages,image_pages,formula_strategy,source_signals,user_rights_declaration,production_rights_status,ingest_priority,target_visibility
BATCH-2026-08-001,USRPDF-001,4类数列综合（数列不等式的证明、不等式放缩、参数求解、三角函数综合）（解析版）(1).pdf,D:\高中数学\2026-08\4类数列综合（数列不等式的证明、不等式放缩、参数求解、三角函数综合）（解析版）(1).pdf,数列,数列综合,teacher_or_solved,27,15,True,text_layer_good,0,10,text_blocks_plus_math_formula_reconstruction,explicit_wechat_source,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-002,专题 数列（解析版）(1).pdf,D:\高中数学\2026-08\专题 数列（解析版）(1).pdf,数列,数列综合,teacher_or_solved,28,44,True,text_layer_good,0,5,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-003,专题01 集合与逻辑用语（选填题7种考法）（老师版）(1).pdf,D:\高中数学\2026-08\专题01 集合与逻辑用语（选填题7种考法）（老师版）(1).pdf,集合与常用逻辑用语,选填题题型,teacher_or_solved,24,70,True,text_layer_good,1,7,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-004,专题练习：导数27个专题（解析）_(1).pdf,D:\高中数学\2026-08\专题练习：导数27个专题（解析）_(1).pdf,函数与导数,导数专题,teacher_or_solved,202,280,True,text_layer_good,0,5,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P2_large_document_parser,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-005,函数性质的八大题型综合应用（解析版）(1).pdf,D:\高中数学\2026-08\函数性质的八大题型综合应用（解析版）(1).pdf,函数,函数性质综合,teacher_or_solved,32,10,True,text_layer_good,0,6,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-006,函数性质的综合应用 解析版(1).pdf,D:\高中数学\2026-08\函数性质的综合应用 解析版(1).pdf,函数,函数性质综合,teacher_or_solved,30,56,True,text_layer_good,0,10,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-007,大题 函数与导数（解析版）(1).pdf,D:\高中数学\2026-08\大题 函数与导数（解析版）(1).pdf,函数与导数,导数专题,teacher_or_solved,53,40,True,text_layer_good,0,22,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-008,大题 圆锥曲线（椭圆、双曲线、抛物线）（精选30题）（学生版）(1).pdf,D:\高中数学\2026-08\大题 圆锥曲线（椭圆、双曲线、抛物线）（精选30题）（学生版）(1).pdf,圆锥曲线,椭圆|双曲线|抛物线,student_or_question_only,15,30,True,text_layer_good,0,2,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P2_question_only,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-009,大题 立体几何（精选30题）（解析版）(1).pdf,D:\高中数学\2026-08\大题 立体几何（精选30题）（解析版）(1).pdf,立体几何,立体几何综合,teacher_or_solved,39,30,True,text_layer_good,0,39,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-010,排列组合与二项式定理（解析版）(1).pdf,D:\高中数学\2026-08\排列组合与二项式定理（解析版）(1).pdf,计数原理,排列组合与二项式定理,teacher_or_solved,13,29,True,text_layer_good,0,6,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-011,数列放缩通项证明不等式与数列不等式恒成立问题（原卷版）(1).pdf,D:\高中数学\2026-08\数列放缩通项证明不等式与数列不等式恒成立问题（原卷版）(1).pdf,数列,数列综合,student_or_question_only,9,26,True,text_layer_good,0,2,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P2_question_only,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-012,数学-湖北省武汉市2025届高中毕业生二月调研考试（武汉二调）试题和解析.pdf,D:\高中数学\2026-08\数学-湖北省武汉市2025届高中毕业生二月调研考试（武汉二调）试题和解析.pdf,新高考模拟卷,武汉调研考试,teacher_or_solved,15,14,True,mixed_or_partial_ocr,4,4,full_ocr_plus_math_ocr,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P3_hybrid_ocr,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-013,数学-湖北省武汉市2025届高中毕业生四月调研考试（武汉四调）试卷和答案.pdf,D:\高中数学\2026-08\数学-湖北省武汉市2025届高中毕业生四月调研考试（武汉四调）试卷和答案.pdf,新高考模拟卷,武汉调研考试,teacher_or_solved,7,19,True,mixed_or_partial_ocr,4,5,full_ocr_plus_math_ocr,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P3_hybrid_ocr,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-014,新高考数学概率黄金32题（教师版）(1).pdf,D:\高中数学\2026-08\新高考数学概率黄金32题（教师版）(1).pdf,统计与概率,概率统计综合,teacher_or_solved,30,32,True,text_layer_good,0,4,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-015,椭圆性质（考题猜想，易错必刷30题13种题型）（解析版）(1).pdf,D:\高中数学\2026-08\椭圆性质（考题猜想，易错必刷30题13种题型）（解析版）(1).pdf,圆锥曲线,椭圆|双曲线|抛物线,teacher_or_solved,20,30,True,text_layer_good,0,20,text_blocks_plus_math_formula_reconstruction,no_explicit_signal_found,commercial_display|adaptation|model_training,provisional_user_attestation,P1_structured_pilot,rights_quarantine_until_evidence_checked
BATCH-2026-08-001,USRPDF-016,概率统计大题综合（解析版）(1).pdf,D:\高中数学\2026-08\概率统计大题综合（解析版）(1).pdf,统计与概率,概率统计综合,teacher_or_solved,36,30,True,text_layer_good,0,4,text_blocks_plus_math_formula_reconstruction,eduediter_metadata_and_branded_layout,commercial_display|adaptation|model_training,hold_for_written_license_evidence,P1_structured_pilot,rights_quarantine_until_evidence_checked
